file,path,year,page,theme,term,quote
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,88,climate,\bscope\s*1\b,"24,306+1,914 +259 -1,481 -17,339 37 This metric is part of Management’s Assertion on select sustainability metrics, which PwC has performed limited assurance over for the period from June 1, 2020, to May 31, 2021, as indicated in the Report of ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,88,climate,\bscope\s*1\b,"than available by natural gas. • Eight stores that opened in Greater China in FY21 obtained Leadership in Energy and Environmental Design (LEED) certification, including two Gold. Offices • Office closures yielded a significant temporary reduction in building energy usage ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,88,climate,\bscope\s*2\b,"914 +259 -1,481 -17,339 37 This metric is part of Management’s Assertion on select sustainability metrics, which PwC has performed limited assurance over for the period from June 1, 2020, to May 31, 2021, as indicated in the Report of ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,90,climate,\bnet\s*zero\b,ding manufacturing slowdown and our lowest inbound air freight rate on record. Outbound emissions increased versus baseline in response to increasing e-commerce sales but was a smaller portion of this target. Manufacturing For NIKE to achieve its 2030 Scope 3 ...
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,90,climate,\bscope\s*3\b,e saw in FY21 was largely due to COVID-19-related factors including manufacturing slowdown and our lowest inbound air freight rate on record. Outbound emissions increased versus baseline in response to increasing e-commerce sales but was a smaller portion of this ...
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,91,climate,\bscope\s*1\b,"Contributed to our goal Detracted from our goal Scope 1 Scope 2 Energy Efficiency During FY21, we deployed NIKE’s Energy Minimum Program, which is an energy management foundation geared at achieving energy and cost savings. This enabled us to achieve ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,91,climate,\bscope\s*2\b,"Contributed to our goal Detracted from our goal Scope 1 Scope 2 Energy Efficiency During FY21, we deployed NIKE’s Energy Minimum Program, which is an energy management foundation geared at achieving energy and cost savings. This enabled us to achieve ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,93,climate,\bnet\s*zero\b,"analyze and set a decarbonization pathway for the fashion industry drawing on methodologies from the Science Based Targets initiative. • G7 Fashion Pact: Collection of fashion brands that have set sustainability targets to address climate change, protect biodiversity and reduce ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,93,climate,\bnet\s*zero\b,"ashion industry drawing on methodologies from the Science Based Targets initiative. • G7 Fashion Pact: Collection of fashion brands that have set sustainability targets to address climate change, protect biodiversity and reduce ocean pollution. • Transform to Net Zero: NIKE ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,93,climate,\bnet\s*zero\b,"ive. • G7 Fashion Pact: Collection of fashion brands that have set sustainability targets to address climate change, protect biodiversity and reduce ocean pollution. • Transform to Net Zero: NIKE is a founding member of Transform to Net Zero, which ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,93,climate,\bnet\s*zero\b,"set sustainability targets to address climate change, protect biodiversity and reduce ocean pollution. • Transform to Net Zero: NIKE is a founding member of Transform to Net Zero, which is a cross- sector initiative to accelerate the transition to a ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,94,climate,\bscope\s*1\b,ce to suppliers to help set more ambitious climate goals but also turns the process of achieving our supply chain emission reductions into an aligned strategic effort. The SCAP asks suppliers to take the following actions: • Develop a company-wide ...
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,95,climate,\bscope\s*1\b,"4% of our total inbound volume, resulting in the reduction of approximately 11,000 metric tons of carbon emissions. We continued to expand our use of alternative fuels for outbound During FY21, these suppliers completed all of the foundational requirements of ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,102,climate,\bscope\s*1\b,"of carbon targets that become more difficult to achieve as our business grows. While our 2025 targets help us make progress toward our SBTs, it doesn’t guarantee success with our SBTs. This necessitates that we make progress in areas not ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,102,climate,\bscope\s*1\b,"ets that become more difficult to achieve as our business grows. While our 2025 targets help us make progress toward our SBTs, it doesn’t guarantee success with our SBTs. This necessitates that we make progress in areas not covered by ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,102,climate,\bscope\s*1\b,"e fuels policy to enable consistency in decision-making. We have seen great progress with Scope 2 emissions, driven by renewable electricity through PPAs, vPPAs and onsite renewable energy. More information on our work can be found in the Carbon section ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,102,climate,\bscope\s*2\b,"ace natural gas and jet fuel. To counteract this increase, we continue pursuing energy efficiency opportunities and are exploring renewable natural gas and sustainable aviation fuel. In FY21, we developed an internal sustainable fuels policy to enable consistency in decision-making. ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,103,climate,\bscope\s*1\b,"ago, we’re not yet seeing the impact of strategies and investments made since the announcement of the SBT. To achieve this ambitious emissions goal we will focus on increasing environmentally preferred materials, converting factories to renewable energy and working across ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,103,climate,\bscope\s*1\b,"hange. More Data Scope 1 and 2 Emissions Data 12,000,000 10,000,000 8,000,000 6,000,000 4,000,000 2,000,000 FY15 FY18 FY16 FY19 FY17 FY20 9,219,283 10,269,811 9,433,177 10,737,018 9,947,165 11,598,948 10,823,560228,770 210,321 225,853 197,497 224,511 160,840 76,42035,624 41,941 37,325 46,713 40,138 47,807 42,720FY21 ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,103,climate,\bscope\s*1\b,"Data 12,000,000 10,000,000 8,000,000 6,000,000 4,000,000 2,000,000 FY15 FY18 FY16 FY19 FY17 FY20 9,219,283 10,269,811 9,433,177 10,737,018 9,947,165 11,598,948 10,823,560228,770 210,321 225,853 197,497 224,511 160,840 76,42035,624 41,941 37,325 46,713 40,138 47,807 42,720FY21 Scope 1 Scope 2 Scope 3 Scope 1 ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,103,climate,\bscope\s*1\b,"00,000 2,000,000 FY15 FY18 FY16 FY19 FY17 FY20 9,219,283 10,269,811 9,433,177 10,737,018 9,947,165 11,598,948 10,823,560228,770 210,321 225,853 197,497 224,511 160,840 76,42035,624 41,941 37,325 46,713 40,138 47,807 42,720FY21 Scope 1 Scope 2 Scope 3 Scope 1 Scope 2 Scope 32030 Science-Based ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,103,climate,\bscope\s*2\b,"Scope 1 and 2 Emissions Data 12,000,000 10,000,000 8,000,000 6,000,000 4,000,000 2,000,000 FY15 FY18 FY16 FY19 FY17 FY20 9,219,283 10,269,811 9,433,177 10,737,018 9,947,165 11,598,948 10,823,560228,770 210,321 225,853 197,497 224,511 160,840 76,42035,624 41,941 37,325 46,713 40,138 47,807 42,720FY21 Scope 1 Scope ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,103,climate,\bscope\s*2\b,"000,000 10,000,000 8,000,000 6,000,000 4,000,000 2,000,000 FY15 FY18 FY16 FY19 FY17 FY20 9,219,283 10,269,811 9,433,177 10,737,018 9,947,165 11,598,948 10,823,560228,770 210,321 225,853 197,497 224,511 160,840 76,42035,624 41,941 37,325 46,713 40,138 47,807 42,720FY21 Scope 1 Scope 2 Scope 3 Scope 1 Scope ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,103,climate,\bscope\s*3\b,"Scope 3 As a growth company, decoupling our emissions footprint from unit growth in the face of absolute carbon targets is a critical challenge to address. Our growth has contributed to our FY21 emissions footprint increasing by 17% versus the ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,103,climate,\bscope\s*3\b,"issions Data 12,000,000 10,000,000 8,000,000 6,000,000 4,000,000 2,000,000 FY15 FY18 FY16 FY19 FY17 FY20 9,219,283 10,269,811 9,433,177 10,737,018 9,947,165 11,598,948 10,823,560228,770 210,321 225,853 197,497 224,511 160,840 76,42035,624 41,941 37,325 46,713 40,138 47,807 42,720FY21 Scope 1 Scope 2 Scope 3 Scope ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,113,waste,\brecyclab\w*\b,"tinue to focus first on eliminating and then diverting waste from our operations, with the ultimate goal of achieving zero waste. Onsite food, catering services and custodial services create the most waste at our headquarter campuses. We are tackling these ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,117,waste,\brecyclab\w*\b,"Headquarters At our workplaces globally, our waste focus areas are: • Employee education on proper waste disposal to decrease contamination rates and maximize proper collection of compost and recyclables • Continued progress on eliminating food packaging and other hard-to-recycle consumables ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,119,waste,\bpost[-\s]?consumer\b,"• In FY21, we began supplying Nike Grind to Hero Flooring, a U.S.- based flooring company. Hero Flooring uses post-consumer Nike Grind rubber from ground-up end-of-life sneakers to develop rubber flooring. The flooring has been installed in NIKE retail stores, ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,119,waste,\bpost[-\s]?consumer\b,"ility of recycled yarns and fabrics, NIKE Apparel has prioritized recycled polyester in the near term.Nike Grind Footwear Waste Volumes Recycled (Metric Tons) FY20 FY21 Waste Source Disposal Method Post-Industrial (Factory Scrap) Recycled into NIKE Products and Recycled by Global ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,123,water,\bwastewater\b,o their part to reduce their freshwater use. We collaborated with suppliers to establish freshwater reduction targets that will help us reach our 2025 target. • Build Capability among suppliers so they are executing their freshwater reduction targets using generally ...
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,124,water,\bwastewater\b,"sister facility – Gain Lucky – in Vietnam reduced its use by 8.6% (FY16–FY20: 9.7%). Shenzhou Group achieved its progress primarily thorough investments in low-liquor dyeing equipment and manufacturing efficiencies. In addition, the Far Eastern Group’s Vietnam facility delivered a ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,124,water,\bwastewater\b,"use by 8.6% (FY16–FY20: 9.7%). Shenzhou Group achieved its progress primarily thorough investments in low-liquor dyeing equipment and manufacturing efficiencies. In addition, the Far Eastern Group’s Vietnam facility delivered a 9.79% reduction by focusing on wastewater recycling using one of ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,124,water,\bwastewater\b,delivered a 9.79% reduction by focusing on wastewater recycling using one of the largest textile wastewater recycling systems in all of Vietnam. These three facilities represent approximately 35% of the materials production for the in-scope suppliers for our 2025 water ...
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,124,water,\bwastewater\b,"e largest textile wastewater recycling systems in all of Vietnam. These three facilities represent approximately 35% of the materials production for the in-scope suppliers for our 2025 water reduction target. Since FY15, the number of wastewater recycling installations has continued ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,125,water,\bwastewater\b,"Wastewater Compliance and Capability Building As mentioned in previous reports, full compliance to the ZDHC Wastewater Guidelines by suppliers has been one of our greatest water- related challenges. We are making significant progress. In FY20, 69% of focus suppliers (24 ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,125,water,\bwastewater\b,"Wastewater Compliance and Capability Building As mentioned in previous reports, full compliance to the ZDHC Wastewater Guidelines by suppliers has been one of our greatest water- related challenges. We are making significant progress. In FY20, 69% of focus suppliers (24 ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,125,water,\bwastewater\b,"Wastewater Compliance and Capability Building As mentioned in previous reports, full compliance to the ZDHC Wastewater Guidelines by suppliers has been one of our greatest water- related challenges. We are making significant progress. In FY20, 69% of focus suppliers (24 ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,125,water,\bwastewater\b,"lities) demonstrated full compliance. Whereas suppliers have made excellent progress in removing manufacturer restricted substance list (MRSL) chemistries from their manufacturing, many suppliers find challenges with achieving the ZDHC foundational limits for the conventional parameters that are always present in ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,125,water,\bwastewater\b,"ress in removing manufacturer restricted substance list (MRSL) chemistries from their manufacturing, many suppliers find challenges with achieving the ZDHC foundational limits for the conventional parameters that are always present in wastewater. Capability building is a key unlock for suppliers ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,125,water,\bwastewater\b,"uppliers find challenges with achieving the ZDHC foundational limits for the conventional parameters that are always present in wastewater. Capability building is a key unlock for suppliers that treat their wastewater. In FY20, we assumed a leadership role to define ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,125,water,\bwastewater\b,"January 1, 2024. In FY21, we started training suppliers. We collaborated with DuPont Water Solutions to provide four 8-hour, online training sessions on ultrafiltration and reverse osmosis. Two sessions were held in English, one in Mandarin and one in Vietnamese ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,125,water,\bwastewater\b,"in Vietnamese in two- hour blocks over a month. Over 300 water and wastewater operators and engineers in the Greater China, Vietnam, Thailand, Indonesia and Malaysia attended the full eight hours. In addition, we also collaborated with Greeley and Hansen, ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,125,water,\bwastewater\b,"ineers in the Greater China, Vietnam, Thailand, Indonesia and Malaysia attended the full eight hours. In addition, we also collaborated with Greeley and Hansen, a Chicago-based engineering firm, to provide eight hours of wastewater operations and troubleshooting training over a ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,126,water,\bwastewater\b,"In recognition of World Water Day on March 22, 2021, we gave strategic suppliers around the world nearly 200 copies of the Water Environment Federation Wastewater Treatment Fundamentals training manual in English, Mandarin, Vietnamese and Spanish. In FY20, NIKE sponsored ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,126,water,\bwastewater\b,"ish, Mandarin, Vietnamese and Spanish. In FY20, NIKE sponsored the Mandarin translation of this 700-page training manual. As January 1, 2024 approaches, we remain active with the ZDHC Foundation, training providers and other external stakeholders to enable the right infrastructure ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,127,water,\bwastewater\b,astics Research at NIKE Microparticles and microplastics have been an emerging issue in the footwear and apparel industry in recent years. NIKE joined The Microfibre Consortium (TMC) and has assumed a leadership position in the development of the TMC Guideline ...
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,127,water,\bwastewater\b,"KE joined The Microfibre Consortium (TMC) and has assumed a leadership position in the development of the TMC Guideline to control microfibers and microparticles in textile wastewater. In conjunction with this guideline, NIKE has invested in research to examine how ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,127,water,\bwastewater\b,"cles, are highly prone to contamination and lack standardization. In FY21, not only did we help to identify a commercially available method to measure microparticles down to two microns, but we validated a method to capture and help prevent the ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,127,water,\bwastewater\b,"le method to measure microparticles down to two microns, but we validated a method to capture and help prevent the discharge of those microparticles into the environment through textile wastewater by using ultrafiltration. This is the same ultrafiltration as one ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,131,product,\btraceab\w*\b,"nformity program year on year across the majority of our materials production. While this approach will not give us complete information on every substance in use today, it helps ensure that any MRSL listed substance is banned from intentional use. ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,134,water,\bPFAS\b,stinct challenges for brands to manage. Ensuring post-consumer materials are processed and prepared in a way that 85% of footwear uses PFC-free finishes 100% of accessories use PFC-free finishes 72% of apparel uses PFC-free finishesAt the end of FY21: 55 ...
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,134,waste,\bpost[-\s]?consumer\b,"ents challenges for ensuring chemical constituents in the product. As we consider new and different recycled or upcycled material streams, we face new challenges in ensuring these materials meet our extensive chemical guidelines. Each input stream, whether it is from ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,134,waste,\bpost[-\s]?consumer\b,"new and different recycled or upcycled material streams, we face new challenges in ensuring these materials meet our extensive chemical guidelines. Each input stream, whether it is from our industry, from other industries, or pre- or post-consumer items, creates distinct ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,137,climate,\bnet\s*zero\b,"About This Report This NIKE Impact Report represents the first year of performance against our 2025 Purpose targets. This set of 29 enterprise targets, plus the corporate commitments with a longer time frame – like our Science- Based Carbon Target ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,137,climate,\bscope\s*1\b,"ing on NIKE’s reporting tradition since 2002, we expect to continue reporting annual progress toward our social and environmental targets and priority issues. We have obtained external assurance on select reported metrics, including energy consumption and renewable electricity use in ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,137,climate,\bscope\s*3\b,"continue reporting annual progress toward our social and environmental targets and priority issues. We have obtained external assurance on select reported metrics, including energy consumption and renewable electricity use in owned or operated facilities; Scope 1 and 2 greenhouse gas ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,150,water,\bwastewater\b,reedom of Association and Collective Bargaining 0 1.1 1 Harassment and Abuse 2.5 0 0.3 Hazardous Waste 0 0.7 0.6 HSE Management Systems 1.2 2.5 2.3 Occupational Health and Hygiene 6.2 12.2 11.4 Other 1.2 0.8 0.9 Regular Employment 2.5 ...
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,150,water,\bwastewater\b,": 100% of facilities in our extended supply chain meet NIKE’s foundational labor, health, safety and environmental standards demonstrating respect for the rights of their workers and communities where they operate Audit Counts Tier 1 Tier 2 FY21 Total NIKE ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,151,climate,\bscope\s*1\b,"Emissions (Metric Tons CO 2e) Energy (MWh) Energy and Emissions by Business Function Scope 1 and 2Scope 1 FY20Scope 1 FY21Scope 2 FY20Scope 2 FY21Fuel Consumed FY20Fuel Consumed FY21Electricity Consumed FY20Electricity Consumed FY21 Retail 18,210 17,761 68,748 41,391 89,898 87,682 ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,151,climate,\bscope\s*1\b,"e using net calorific value of the direct fuels consumed, including transportation fuels. Emissions data for HFCs, PFCs and SF 6 are not reported. NIKE has phased out SF 6 and therefore doesn’t have SF 6 emissions. Emissions for other ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,151,climate,\bscope\s*1\b,"ound and Outbound Logistics component of this metric is part of Management’s Assertion on select sustainability metrics, which PwC has performed limited assurance over for the period from June 1, 2020, to May 31, 2021, as indicated in the Report ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,151,climate,\bscope\s*2\b,"cluding transportation fuels. Emissions data for HFCs, PFCs and SF 6 are not reported. NIKE has phased out SF 6 and therefore doesn’t have SF 6 emissions. Emissions for other greenhouse gases are either not relevant, immaterial, or data is ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,151,climate,\bscope\s*2\b,"or other greenhouse gases are either not relevant, immaterial, or data is not available. 81 Scope 1: Direct emissions from owned or controlled sources. Scope 2: Indirect emissions from the generation of purchased energy. Scope 3: All indirect emissions (both ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,151,climate,\bscope\s*2\b,"anagement’s Assertion on select sustainability metrics, which PwC has performed limited assurance over for the period from June 1, 2020, to May 31, 2021, as indicated in the Report of Independent Accountants.FY21 Emissions Summary (Metric Tons CO 2e) Scope 1, ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,151,climate,\bscope\s*3\b,"are not reported. NIKE has phased out SF 6 and therefore doesn’t have SF 6 emissions. Emissions for other greenhouse gases are either not relevant, immaterial, or data is not available. 81 Scope 1: Direct emissions from owned or controlled ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,152,climate,\bscope\s*1\b,"(Metric Tons CO 2e) 68,748 41,391 NIKE, Inc. Total Electricity (MWh) 642,943 592,211 Grid Electricity (MWh) 624,379 568,535 Onsite Solar (MWh) 7,433 8,557 Onsite Wind (MWh) 11,131 15,120 Location-Based (Metric Tons CO 2e) 271,176 251,578 Market-Based (Metric Tons CO 2e) ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,152,climate,\bscope\s*2\b,"Electricity Consumption (MWh) and Scope 2 Emissions (Metric Tons CO 2e) FY20 FY21 Air MI Grid Electricity (MWh) 94,290 86,885 Location-Based (Metric Tons CO 2e) 46,059 42,151 Market-Based (Metric Tons CO 2e) 19,494 2,155 Distribution Centers Total Electricity (MWh) 191,711 ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,152,climate,\bscope\s*3\b,"2 Emissions (Metric Tons CO 2e) 9,749 11,663 HQs & Offices Fuel Consumed (MWh) 73,028 49,966 Emissions (Metric Tons CO 2e) 14,794 10,104 Retail Fuel Consumed (MWh) 89,898 87,682 Emissions (Metric Tons CO 2e) 18,210 17,761 NIKE, Inc. Fuel Consumed ..."
