year,document,page,category,keyword,sentence,extracted_numbers,commitment_strength,contains_timeline,contains_percentage
2020,Nike_2020_Annual_Report.pdf,14,social,diversity,"COMSTOCK
AGE DIRECTOR SINCE COMMITTEEOTHER CURRENT
PUBLIC DIRECTORSHIPS FAVORITE NIKE PRODUCT(S)
59 2011 Compensation None Nike Air Force 1 and Nike Air
Satin Jacket
SKILLS, EXPERIENCES AND QUALIFICATIONS
DIVERSITY DIGITAL/TECHNOLOGY MEDIA
INTERNATIONAL
Ms","{'percentages': [], 'years': [2011], 'other_numbers': ['59', '2011', '1']}",moderate,True,False
2020,Nike_2020_Annual_Report.pdf,15,social,diversity,"BENKO
AGE DIRECTOR SINCE COMMITTEEOTHER CURRENT
PUBLIC DIRECTORSHIPS FAVORITE NIKE PRODUCT(S)
62 2018 Compensation None Converse All Star Platform
Low Top and Nike AeroLayer
Jacket
SKILLS, EXPERIENCES AND QUALIFICATIONS
DIVERSITY DIGITAL/TECHNOLOGY HR/TALENT MANAGEMENT
INTERNATIONAL
Ms","{'percentages': [], 'years': [2018], 'other_numbers': ['62', '2018']}",moderate,True,False
2020,Nike_2020_Annual_Report.pdf,15,social,inclusion,"Benko held multiple technology and talent
management roles, including serving as the company’s first Vice Chairman and Chief Talent Officer from 2006 to 2010, its
Chief Inclusion Officer from 2008 to 2010, and as Managing Principal, Initiative for the Retention and Advancement of Women,
from 2003 to 2009","{'percentages': [], 'years': [2006, 2010, 2008, 2010, 2003, 2009], 'other_numbers': ['2006', '2010', '2008', '2010', '2003', '2009']}",moderate,True,False
2020,Nike_2020_Annual_Report.pdf,15,social,diversity,"COMSTOCK
AGE DIRECTOR SINCE COMMITTEEOTHER CURRENT
PUBLIC DIRECTORSHIPS FAVORITE NIKE PRODUCT(S)
59 2011 Compensation None Nike Air Force 1 and Nike Air
Satin Jacket
SKILLS, EXPERIENCES AND QUALIFICATIONS
DIVERSITY DIGITAL/TECHNOLOGY MEDIA
INTERNATIONAL
Ms","{'percentages': [], 'years': [2011], 'other_numbers': ['59', '2011', '1']}",moderate,True,False
2020,Nike_2020_Annual_Report.pdf,18,social,diversity,"DUCKETT
AGE DIRECTOR SINCE COMMITTEEOTHER CURRENT
PUBLIC DIRECTORSHIPS FAVORITE NIKE PRODUCT(S)
47 2019 Corporate Responsibility,
Sustainability & GovernanceNone Air Jordans, Nike Air Force 1,
and Nike Air Max 270
SKILLS, EXPERIENCES AND QUALIFICATIONS
DIVERSITY FINANCIAL EXPERTISE CEO EXPERIENCE
RETAIL INDUSTRY HR/TALENT MANAGEMENT
Ms","{'percentages': [], 'years': [2019], 'other_numbers': ['47', '2019', '1', '270']}",moderate,True,False
2020,Nike_2020_Annual_Report.pdf,18,social,human rights,Kennedy Human Rights Foundation,"{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,19,social,diversity,"DUCKETT
AGE DIRECTOR SINCE COMMITTEEOTHER CURRENT
PUBLIC DIRECTORSHIPS FAVORITE NIKE PRODUCT(S)
47 2019 Corporate Responsibility,
Sustainability & GovernanceNone Air Jordans, Nike Air Force 1,
and Nike Air Max 270
SKILLS, EXPERIENCES AND QUALIFICATIONS
DIVERSITY FINANCIAL EXPERTISE CEO EXPERIENCE
RETAIL INDUSTRY HR/TALENT MANAGEMENT
Ms","{'percentages': [], 'years': [2019], 'other_numbers': ['47', '2019', '1', '270']}",moderate,True,False
2020,Nike_2020_Annual_Report.pdf,19,social,human rights,Kennedy Human Rights Foundation,"{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,22,social,diversity,"AGE DIRECTOR SINCE COMMITTEEOTHER CURRENT
PUBLIC DIRECTORSHIPS FAVORITE NIKE PRODUCT(S)
62 2018 Corporate Responsibility,
Sustainability & GovernanceMcDonald’s Corporation and
The New York Times
CompanyNike KD and Nike LeBron
Basketball Shoes
SKILLS, EXPERIENCES AND QUALIFICATIONS
DIVERSITY CEO EXPERIENCE GOVERNANCE
FINANCIAL EXPERTISE
Mr","{'percentages': [], 'years': [2018], 'other_numbers': ['62', '2018']}",moderate,True,False
2020,Nike_2020_Annual_Report.pdf,22,social,human rights,"Kennedy Center for 
Justice and Human Rights, the National Association of Basketball Coaches (NABC) Foundation, Inc","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,23,social,diversity,"AGE DIRECTOR SINCE COMMITTEEOTHER CURRENT
PUBLIC DIRECTORSHIPS FAVORITE NIKE PRODUCT(S)
62 2018 Corporate Responsibility,
Sustainability & GovernanceMcDonald’s Corporation and
The New York Times
CompanyNike KD and Nike LeBron
Basketball Shoes
SKILLS, EXPERIENCES AND QUALIFICATIONS
DIVERSITY CEO EXPERIENCE GOVERNANCE
FINANCIAL EXPERTISE
Mr","{'percentages': [], 'years': [2018], 'other_numbers': ['62', '2018']}",moderate,True,False
2020,Nike_2020_Annual_Report.pdf,23,social,human rights,"Kennedy Center for 
Justice and Human Rights, the National Association of Basketball Coaches (NABC) Foundation, Inc","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,24,social,diversity,"Nike Epic React
SKILLS, EXPERIENCES AND QUALIFICATIONS
DIVERSITY INTERNATIONAL GOVERNANCE
FINANCIAL EXPERTISE ACADEMIA
Mr","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,24,social,diversity,"PELUSO
AGE DIRECTOR SINCE COMMITTEEOTHER CURRENT
PUBLIC DIRECTORSHIPS FAVORITE NIKE PRODUCT(S)
48 2014 Corporate Responsibility,
Sustainability & Governance,
ChairNone Nike React Infinity Run, Nike
Air Satin Jacket, and Nike Air
Max Tailwind IV
SKILLS, EXPERIENCES AND QUALIFICATIONS
DIVERSITY INTERNATIONAL HR/TALENT MANAGEMENT
FINANCIAL EXPERTISE DIGITAL/TECHNOLOGY GOVERNANCE
CEO EXPERIENCE RETAIL INDUSTRY
Ms","{'percentages': [], 'years': [2014], 'other_numbers': ['48', '2014']}",moderate,True,False
2020,Nike_2020_Annual_Report.pdf,25,social,diversity,"Nike Epic React
SKILLS, EXPERIENCES AND QUALIFICATIONS
DIVERSITY INTERNATIONAL GOVERNANCE
FINANCIAL EXPERTISE ACADEMIA
Mr","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,25,social,diversity,"PELUSO
AGE DIRECTOR SINCE COMMITTEEOTHER CURRENT
PUBLIC DIRECTORSHIPS FAVORITE NIKE PRODUCT(S)
48 2014 Corporate Responsibility,
Sustainability & Governance,
ChairNone Nike React Infinity Run, Nike
Air Satin Jacket, and Nike Air
Max Tailwind IV
SKILLS, EXPERIENCES AND QUALIFICATIONS
DIVERSITY INTERNATIONAL HR/TALENT MANAGEMENT
FINANCIAL EXPERTISE DIGITAL/TECHNOLOGY GOVERNANCE
CEO EXPERIENCE RETAIL INDUSTRY
Ms","{'percentages': [], 'years': [2014], 'other_numbers': ['48', '2014']}",moderate,True,False
2020,Nike_2020_Annual_Report.pdf,26,social,diversity,"INDIVIDUAL BOARD SKILLS MA TRIX
EXPERIENCE, EXPERTISE, OR A TTRIBUTESB
E
N
K
OC
O
M
S
T
O
C
KC
O
N
N
O
R
SC
O
O
KD
O
N
A
H
O
ED
U
C
K
E
T
TG
R
A
FH
E
N
R
YK
N
I
G
H
TP
A
R
K
E
RP
E
L
U
S
OR
O
G
E
R
S
DIVERSITY 
Gender or ethnic diversity that adds a range of 
perspectives and expands the Board’ s 
understanding of the needs and viewpoints of 
consumers, employees, and other stakeholders 
worldwide","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,26,social,diversity,"As provided in these standards and the Company’s corporate 
governance guidelines, nominees for director are selected on the basis of, among other things, distinguished business 
experience or other non-business achievements; education; significant knowledge of international business, finance, marketing, 
technology, human resources, diversity & inclusion, law, or other fields which are complementary to, and balance the knowledge 
of, other Board members; a desire to represent the diverse interests of all stakeholders; independence; good character; ethics; 
sound judgment; diversity; and ability to devote substantial time to discharge Board responsibilities","{'percentages': [], 'years': [], 'other_numbers': []}",strong,False,False
2020,Nike_2020_Annual_Report.pdf,26,social,diversity,"While the Board has no policy regarding Board member 
diversity, the Corporate Responsibility, Sustainability & Governance Committee considers and discusses diversity in selecting 
nominees for director and in the re-nomination of an incumbent director","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,26,social,diversity,"The committee views diversity broadly to include, among 
other things, differences in backgrounds, qualifications, experiences, viewpoint, geographic location, education, skills and 
expertise (including financial, accounting, compliance, corporate social responsibility, public policy, cybersecurity, or other 
expertise relevant to service on the Board), professional and industry experience, and personal characteristics (including gender, 
ethnicity/race, and sexual orientation)","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,26,social,diversity,"In considering the re-nomination of an incumbent director, the Corporate Responsibility, Sustainability & Governance Committee 
reviews the director’s overall service to the Company during his or her term, including the number of meetings attended, level of 
participation, and quality of performance, as well as any special skills, experience, or diversity that such director brings to the 
Board","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,27,social,diversity,"INDIVIDUAL BOARD SKILLS MA TRIX
EXPERIENCE, EXPERTISE, OR A TTRIBUTESB
E
N
K
OC
O
M
S
T
O
C
KC
O
N
N
O
R
SC
O
O
KD
O
N
A
H
O
ED
U
C
K
E
T
TG
R
A
FH
E
N
R
YK
N
I
G
H
TP
A
R
K
E
RP
E
L
U
S
OR
O
G
E
R
S
DIVERSITY 
Gender or ethnic diversity that adds a range of 
perspectives and expands the Board’ s 
understanding of the needs and viewpoints of 
consumers, employees, and other stakeholders 
worldwide","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,27,social,diversity,"As provided in these standards and the Company’s corporate 
governance guidelines, nominees for director are selected on the basis of, among other things, distinguished business 
experience or other non-business achievements; education; significant knowledge of international business, finance, marketing, 
technology, human resources, diversity & inclusion, law, or other fields which are complementary to, and balance the knowledge 
of, other Board members; a desire to represent the diverse interests of all stakeholders; independence; good character; ethics; 
sound judgment; diversity; and ability to devote substantial time to discharge Board responsibilities","{'percentages': [], 'years': [], 'other_numbers': []}",strong,False,False
2020,Nike_2020_Annual_Report.pdf,27,social,diversity,"While the Board has no policy regarding Board member 
diversity, the Corporate Responsibility, Sustainability & Governance Committee considers and discusses diversity in selecting 
nominees for director and in the re-nomination of an incumbent director","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,27,social,diversity,"The committee views diversity broadly to include, among 
other things, differences in backgrounds, qualifications, experiences, viewpoint, geographic location, education, skills and 
expertise (including financial, accounting, compliance, corporate social responsibility, public policy, cybersecurity, or other 
expertise relevant to service on the Board), professional and industry experience, and personal characteristics (including gender, 
ethnicity/race, and sexual orientation)","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,27,social,diversity,"In considering the re-nomination of an incumbent director, the Corporate Responsibility, Sustainability & Governance Committee 
reviews the director’s overall service to the Company during his or her term, including the number of meetings attended, level of 
participation, and quality of performance, as well as any special skills, experience, or diversity that such director brings to the 
Board","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,30,social,diversity,"Its duties include the 
following:
•Review and evaluate NIKE’s significant strategies, activities, policies, investments, and
programs regarding social purpose, corporate responsibility, and sustainability;
•Provide oversight of management’s efforts to ensure that the Company’s dedication to
sustainability is reflected in its business operations;
•Monitor the Company’s progress towards its diversity and inclusion objectives and
compliance with the Company’s responsibilities as an equal opportunity employer;
•Review and evaluate the social, political, and environmental impact, trends, and issues in
connection with the Company’s business activities and make recommendations to the Board;
•Provide oversight of the Company’s community and social impact efforts;
•Oversee protection of the Company’s corporate reputation and other matters of importance to
the Company and its stakeholders;
•Continue to identify individuals qualified to become Board members and recommend director
nominees for election at each annual shareholder meeting;
•Develop and recommend to the Board corporate governance guidelines and a code of
business conduct and ethics; and
•Oversee the annual self-evaluations of the Board and its committees and make
recommendations to the Board concerning the structure and membership of the other Board
committees","{'percentages': [], 'years': [], 'other_numbers': []}",strong,False,False
2020,Nike_2020_Annual_Report.pdf,30,social,diversity,"The committee also oversees protection of the Company’s 
corporate reputation including issues that involve social and community engagement, workplace diversity and inclusion, and 
sustainability innovation relating to the Company’s products, its supply chain (including labor practices), and the environment","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,31,social,diversity,"Its duties include the 
following:
•Review and evaluate NIKE’s significant strategies, activities, policies, investments, and
programs regarding social purpose, corporate responsibility, and sustainability;
•Provide oversight of management’s efforts to ensure that the Company’s dedication to
sustainability is reflected in its business operations;
•Monitor the Company’s progress towards its diversity and inclusion objectives and
compliance with the Company’s responsibilities as an equal opportunity employer;
•Review and evaluate the social, political, and environmental impact, trends, and issues in
connection with the Company’s business activities and make recommendations to the Board;
•Provide oversight of the Company’s community and social impact efforts;
•Oversee protection of the Company’s corporate reputation and other matters of importance to
the Company and its stakeholders;
•Continue to identify individuals qualified to become Board members and recommend director
nominees for election at each annual shareholder meeting;
•Develop and recommend to the Board corporate governance guidelines and a code of
business conduct and ethics; and
•Oversee the annual self-evaluations of the Board and its committees and make
recommendations to the Board concerning the structure and membership of the other Board
committees","{'percentages': [], 'years': [], 'other_numbers': []}",strong,False,False
2020,Nike_2020_Annual_Report.pdf,31,social,diversity,"The committee also oversees protection of the Company’s 
corporate reputation including issues that involve social and community engagement, workplace diversity and inclusion, and 
sustainability innovation relating to the Company’s products, its supply chain (including labor practices), and the environment","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,64,circular,reuse,"Shares underlying awards that expire, terminate, are canceled, or are forfeited to the Company may be reused for subsequent 
awards, except that shares withheld upon exercise of stock options or SARs in full or partial satisfaction of the exercise price or 
tax withholding amount may not be reused","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,64,circular,reuse,"Shares tendered to, or withheld by , the Company to satisfy tax withholding 
obligations with respect to the vesting or settlement of stock awards may be reused for subsequent awards","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,65,circular,reuse,"Shares underlying awards that expire, terminate, are canceled, or are forfeited to the Company may be reused for subsequent 
awards, except that shares withheld upon exercise of stock options or SARs in full or partial satisfaction of the exercise price or 
tax withholding amount may not be reused","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,65,circular,reuse,"Shares tendered to, or withheld by , the Company to satisfy tax withholding 
obligations with respect to the vesting or settlement of stock awards may be reused for subsequent awards","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,66,social,inclusion,"In 
general, we will be entitled to deduct from our taxable income the amount that the individual is required to include in ordinary 
income at the time of such inclusion","{'percentages': [], 'years': [], 'other_numbers': []}",strong,False,False
2020,Nike_2020_Annual_Report.pdf,67,social,inclusion,"In 
general, we will be entitled to deduct from our taxable income the amount that the individual is required to include in ordinary 
income at the time of such inclusion","{'percentages': [], 'years': [], 'other_numbers': []}",strong,False,False
2020,Nike_2020_Annual_Report.pdf,72,social,inclusion,"SHAREHOLDER PROPOSALS
A proposal by a shareholder for inclusion in the Company’ s proxy statement and form of proxy for the 2021 annual meeting of 
shareholders must be received by Ann M","{'percentages': [], 'years': [2021], 'other_numbers': ['2021']}",strong,True,False
2020,Nike_2020_Annual_Report.pdf,72,social,inclusion,"at One Bowerman Drive, Beaverton, Oregon 97005-6453, on or before April 8, 2021 to be eligible for inclusion","{'percentages': [], 'years': [2021], 'other_numbers': ['97005', '6453', '8', '2021']}",moderate,True,False
2020,Nike_2020_Annual_Report.pdf,73,social,inclusion,"SHAREHOLDER PROPOSALS
A proposal by a shareholder for inclusion in the Company’ s proxy statement and form of proxy for the 2021 annual meeting of 
shareholders must be received by Ann M","{'percentages': [], 'years': [2021], 'other_numbers': ['2021']}",strong,True,False
2020,Nike_2020_Annual_Report.pdf,73,social,inclusion,"at One Bowerman Drive, Beaverton, Oregon 97005-6453, on or before April 8, 2021 to be eligible for inclusion","{'percentages': [], 'years': [2021], 'other_numbers': ['97005', '6453', '8', '2021']}",moderate,True,False
2020,Nike_2020_Annual_Report.pdf,87,circular,polyester,"The principal materials used in our footwear products are natural and synthetic rubber, plastic compounds, foam cushioning 
materials, natural and synthetic leather, nylon, polyester and canvas, as well as polyurethane films used to make NIKE Air-Sole  
cushioning components","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,90,social,collective bargaining,"In certain European countries, we are required by local law to enter into and/or comply with 
industry-wide or national collective bargaining agreements","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,91,social,diversity,"She was appointed 
as Vice President and Senior Business Partner in 2011 and Vice President, Chief Talent and Diversity 
Officer in 2012","{'percentages': [], 'years': [2011, 2012], 'other_numbers': ['2011', '2012']}",moderate,True,False
2020,Nike_2020_Annual_Report.pdf,97,circular,repair,"The failure of these systems to operate effectively, including as a result of security breaches, viruses, hackers, malware, natural 
disasters, vendor business interruptions or other causes, or failure to properly maintain, protect, repair or upgrade systems, or 
problems with transitioning to upgraded or replacement systems could cause delays in product fulfillment and reduced efficiency 
of our operations, could require significant capital investments to remediate the problem which may not be sufficient to cover all PaRt I","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,100,social,health and safety,"In addition, even if we are able to expand existing or find new manufacturing or sources of materials, we may 
encounter delays in production and added costs as a result of the time it takes to train suppliers and manufacturers in our 
methods, products, quality control standards and labor, health and safety standards","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,102,social,health and safety,health and safety standards for the benefit of workers,"{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,103,social,diversity,"We believe the diversity of locations in which we operate, our operational size and our Information Techno logy 
Systems position us well, but if we were to experience a local or regional disaster or other business continuity event, we could 
still experience operational challenges, in particular depending upon how a local or regional event may affect our human capital 
across our operations or with regard to particular aspects of our operations, such as key executive officers or personnel","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,103,circular,repair,"Further, 
if we are unable to find alternative suppliers, replace capacity at key manufacturing or distribution locations or quickly repair 
damage to our Information Technology Systems or supply systems, we could be late in delivering, or be unable to deliver, 
products to our customers","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,104,social,health and safety,"There is also a risk of potential claims that we have violated laws related to 
discrimination and harassment, health and safety, wage and hour laws, criminal activity, personal injury and other claims","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,104,social,collective bargaining,"In 
addition, if there were a significant increase in the number of members of our workforce who are members of labor organizations 
or become parties to collective bargaining agreements, we could be vulnerable to a strike, work stoppage or other labor action, 
which could have an adverse effect on our business","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Impact_Report.pdf,2,social,diversity,"Contents
Introduction
Letter From Our President and CEO
2020
2020 Targets
Employees
Community Impact
Sustainable Sourcing
Engaged Workforce
  Accelerating Industry Change Through Partnerships 
Product
Materials
Carbon and Energy
Waste
Water
Chemistry
Priority Issues: Occupational Health & Safety 
Priority Issues: Forced Labor
2025
2025 Targets
People
            Representation & Hiring
           Pay & Bene fits
           Health & Safety
           Inclusive Culture & Engagement
           Education & Professional Development
           Business Diversity  & Inclusion
Foundational Expectations 
Community
 Active Kids
 Inclusive Communities
 Employee Engagement
 Community Investment 
Planet
 Carbon
 Waste
 Water
 Chemistry
Our Approach
 Issue Prioritization
 Priority Issue Definitions
 Governance
Appendix
 Respecting Human Rights
 PwC Assurance Report
 NIKE, Inc","{'percentages': [], 'years': [2020, 2020, 2025, 2025], 'other_numbers': ['2020', '2020', '2025', '2025']}",moderate,True,False
2020,Nike_2020_Impact_Report.pdf,3,climate,scope 1,"We have obtained external assurance on select reported metrics including 
Scope 1 and 2 energy consumption and emissions, Scope 3 commercial  air travel emissions and outbound logistics, and select diversity and inclusion data","{'percentages': [], 'years': [], 'other_numbers': ['1', '2', '3']}",moderate,False,False
2020,Nike_2020_Impact_Report.pdf,3,social,diversity,"We have obtained external assurance on select reported metrics including 
Scope 1 and 2 energy consumption and emissions, Scope 3 commercial  air travel emissions and outbound logistics, and select diversity and inclusion data","{'percentages': [], 'years': [], 'other_numbers': ['1', '2', '3']}",moderate,False,False
2020,Nike_2020_Impact_Report.pdf,6,social,inclusion,"Which 
means we want to share how we’ve done with those 
ambitions, walking readers point-by-point through how 
we performed in the 34 targets and measures we had 
set against our efforts in sustainability, equality and 
inclusion, and our investments in getting kids active and 
building community","{'percentages': [], 'years': [], 'other_numbers': ['34']}",weak,False,False
2020,Nike_2020_Impact_Report.pdf,6,social,human rights,"• Finally, our Appendix includes information on our 
human rights  commitment , external assurance of data , 
and the GRI Index","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Impact_Report.pdf,7,climate,renewable energy,"And we saw real progress throughout our supply chain:
•    We are currently using 100% renewable energy in the United States and 
Canada in our owned or operated facilities","{'percentages': [100.0], 'years': [], 'other_numbers': ['100']}",moderate,False,True
2020,Nike_2020_Impact_Report.pdf,7,transparency,tier 1,•    Our Tier 1 finished goods footwear suppliers diverted 99,"{'percentages': [], 'years': [], 'other_numbers': ['1', '99']}",moderate,False,False
2020,Nike_2020_Impact_Report.pdf,7,social,diversity,"This culture of belonging reflects 
the diversity of the athletes we honor, the people who love our products,  
and the communities we serve","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Impact_Report.pdf,7,climate,carbon footprint,"We will continue to strive to lower emissions across our key 
operations, to shrink our product carbon footprint, to accelerate diversity  
and inclusion across our teams, to enable kids to have access to play and 
sport","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Impact_Report.pdf,7,social,diversity,"We will continue to strive to lower emissions across our key 
operations, to shrink our product carbon footprint, to accelerate diversity  
and inclusion across our teams, to enable kids to have access to play and 
sport","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Impact_Report.pdf,7,social,diversity,"For the first time, we will tie executive 
compensation to NIKE’s progress in deepening diversity and inclusion, 
protecting the planet, and advancing ethical manufacturing","{'percentages': [], 'years': [], 'other_numbers': []}",strong,False,False
2020,Nike_2020_Impact_Report.pdf,9,social,diversity,"We’re dedicated 
to fostering an inclusive culture of belonging and creating an environment 
in which every voice matters – from supporting civic engagement 
to embedding diversity and inclusion education throughout every 
employee journey","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Impact_Report.pdf,9,social,inclusion,"We strive to create an advanced society, focused on inclusion and equality 
for not just Black athletes* but all people","{'percentages': [], 'years': [], 'other_numbers': []}",weak,False,False
2020,Nike_2020_Impact_Report.pdf,9,social,diversity,"Investing in Our Future
The Until We All Win grant portfolio is a direct reflection of what our eight 
Employee Networks, collectively known as NikeUNITED, stand for: our 
commitment to diversity and inclusion in the communities where we live, 
work, and play","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
